"","pC","pD","pM","rep","stability","oscilations","resilience"
"C287",0.01,0.37,0.62,5,TRUE,TRUE,0.266196619988442
"C291",0.98,0.01,0.01,4,FALSE,FALSE,0.36358628589306
"C293",0.97,0.01,0.02,6,FALSE,TRUE,0.507299840953655
"C297",0.98,0.01,0.01,10,FALSE,FALSE,0.357392579819881
"C298",0.97,0.02,0.01,11,FALSE,FALSE,0.368069296238371
"C300",0.97,0.02,0.01,13,FALSE,TRUE,0.428408351445782
"C302",0.98,0.01,0.01,15,FALSE,FALSE,0.338322860794937
"C307",0.98,0.01,0.01,20,FALSE,FALSE,0.330443323965919
"C310",0.49,0.02,0.49,3,TRUE,TRUE,0.430193098348424
"C311",0.55,0.01,0.44,4,FALSE,TRUE,0.353088218802487
"C313",0.4,0.02,0.58,6,TRUE,TRUE,0.375796254843869
"C317",0.6,0.01,0.39,10,FALSE,TRUE,0.64543993822781
"C318",0.37,0.03,0.6,11,TRUE,TRUE,0.38652028074035
"C319",0.535353535353535,0.0101010101010101,0.454545454545455,12,FALSE,TRUE,0.561279934469207
"C320",0.42,0.01,0.57,13,TRUE,TRUE,0.495044858656326
"C321",0.47,0.01,0.52,14,FALSE,FALSE,0.505861319553312
"C322",0.51,0.01,0.48,15,FALSE,TRUE,0.66566427950363
"C324",0.54,0.01,0.45,17,TRUE,TRUE,0.432908270699196
"C326",0.4,0.01,0.59,19,TRUE,TRUE,0.381946152990207
"C331",0.42,0.02,0.56,4,TRUE,TRUE,0.451893647990016
"C334",0.29,0.02,0.69,7,TRUE,TRUE,0.42743712969202
"C340",0.31,0.01,0.68,13,FALSE,TRUE,0.355225590471602
"C341",0.41,0.01,0.58,14,FALSE,TRUE,0.526908623014858
"C345",0.38,0.01,0.61,18,FALSE,TRUE,0.484454091638104
"C351",0.29,0.01,0.7,4,TRUE,TRUE,0.275615395881725
"C352",0.29,0.01,0.7,5,TRUE,TRUE,0.316079849614212
"C359",0.25,0.01,0.74,12,TRUE,TRUE,0.345844102983978
"C361",0.25,0.01,0.74,14,TRUE,TRUE,0.309145376679213
"C365",0.29,0.01,0.7,18,TRUE,TRUE,0.35811203759659
"C367",0.26,0.01,0.73,20,TRUE,TRUE,0.412287275594091
"C372",0.22,0.01,0.77,5,TRUE,TRUE,0.294460785926662
"C379",0.26,0.01,0.73,12,TRUE,TRUE,0.241993311290776
"C392",0.19,0.01,0.8,5,TRUE,TRUE,0.385220384918081
"C402",0.16,0.01,0.83,15,TRUE,TRUE,0.290688477983023
"C403",0.18,0.01,0.81,16,TRUE,TRUE,0.236457678007736
"C410",0.13,0.01,0.86,3,TRUE,TRUE,0.223171851150931
"C411",0.1,0.01,0.89,4,TRUE,TRUE,0.209590658230489
"C414",0.11,0.01,0.88,7,TRUE,TRUE,0.202088930934122
"C425",0.14,0.01,0.85,18,TRUE,TRUE,0.205931611539874
"C433",0.15,0.01,0.84,6,TRUE,TRUE,0.293005563437697
"C443",0.13,0.01,0.86,16,TRUE,TRUE,0.231917339120805
"C456",0.09,0.01,0.9,9,TRUE,TRUE,0.21155220311563
"C457",0.12,0.01,0.87,10,TRUE,FALSE,0.231220791022081
"C463",0.18,0.01,0.81,16,TRUE,TRUE,0.329454962040367
"C475",0.08,0.01,0.91,8,TRUE,TRUE,0.268002338726337
"C481",0.1,0.01,0.89,14,TRUE,TRUE,0.216792198945194
"C488",0.5,0.48,0.02,1,FALSE,TRUE,0.557472700181833
"C489",0.47,0.52,0.01,2,FALSE,TRUE,0.444358935498733
"C491",0.54,0.45,0.01,4,FALSE,TRUE,0.461509318845685
"C494",0.49,0.5,0.01,7,FALSE,TRUE,0.380983467632042
"C498",0.53,0.46,0.01,11,FALSE,TRUE,0.463504418603013
"C502",0.48,0.51,0.01,15,FALSE,TRUE,0.443684581334523
"C506",0.49,0.5,0.01,19,FALSE,TRUE,0.373195794783021
"C508",0.31,0.3,0.39,1,TRUE,TRUE,0.396153615241056
"C509",0.31,0.37,0.32,2,FALSE,TRUE,0.526149923366869
"C510",0.35,0.35,0.3,3,TRUE,TRUE,0.39020592595365
"C511",0.3,0.33,0.37,4,FALSE,TRUE,0.356154247905696
